cc_number,intersects,distance_to_nearest_block,nearest_block
23j08969,TRUE,NA,NA
23j08707,TRUE,NA,NA
23j08578,TRUE,NA,NA
23j08673,TRUE,NA,NA
23k01577,TRUE,NA,NA
23k01619,TRUE,NA,NA
23k01643,TRUE,NA,NA
23k01659,TRUE,NA,NA
23k01680,FALSE,0,1000 dartmouthglen way
23k01382,TRUE,NA,NA
23k00403,TRUE,NA,NA
23k00570,TRUE,NA,NA
23k00324,FALSE,0,2400 hollins ferry road
23k00340,TRUE,NA,NA
23k00369,TRUE,NA,NA
23k00019,TRUE,NA,NA
23k00413,TRUE,NA,NA
23k00148,TRUE,NA,NA
23j10269,TRUE,NA,NA
23j10410,TRUE,NA,NA
23j10414,TRUE,NA,NA
23j10415,TRUE,NA,NA
23j10431,TRUE,NA,NA
23j10104,TRUE,NA,NA
23j10482,TRUE,NA,NA
23j10436,TRUE,NA,NA
23j10440,TRUE,NA,NA
23j10442,TRUE,NA,NA
23j08759,TRUE,NA,NA
23j08406,TRUE,NA,NA
23j08267,TRUE,NA,NA
23j08474,TRUE,NA,NA
23j10824,FALSE,0,7000 laurelton ave
23k01393,TRUE,NA,NA
23k01376,TRUE,NA,NA
23k01376,TRUE,NA,NA
23k01640,TRUE,NA,NA
23k01593,FALSE,13.607688510903717,2600 brendan ave
23k01601,TRUE,NA,NA
23k01579,FALSE,29.34422838557515,1400 w hamburg st
23k01580,TRUE,NA,NA
23k01581,FALSE,27.411458163835423,1400 w hamburg st
23k01587,TRUE,NA,NA
23k00892,TRUE,NA,NA
23k00059,TRUE,NA,NA
23j11340,FALSE,2.274672856274895,10 n rock glen road
23k00063,TRUE,NA,NA
23k00070,TRUE,NA,NA
23k00072,TRUE,NA,NA
23k00076,TRUE,NA,NA
23k00077,TRUE,NA,NA
23k00079,TRUE,NA,NA
23k00087,TRUE,NA,NA
23j11343,TRUE,NA,NA
23j11358,TRUE,NA,NA
23j10134,TRUE,NA,NA
23j09690,FALSE,7.946980201298433,500 e 26th st
23j09665,FALSE,0.5075676569943984,2900 poplar terr
23j09169,TRUE,NA,NA
23j08812,TRUE,NA,NA
23j08619,TRUE,NA,NA
23k01546,TRUE,NA,NA
23k01556,TRUE,NA,NA
23k01558,TRUE,NA,NA
23k01495,FALSE,2.1733811430663272,10 e saratoga st
23k01496,FALSE,4.346662703305483,6800 mcclean blvd
23k01524,FALSE,10.067758016903099,1800 frederick ave
23k01455,TRUE,NA,NA
23k01457,TRUE,NA,NA
23k01462,FALSE,0,4000 old frederick road
23k01465,TRUE,NA,NA
23k01470,FALSE,10.340385213195317,3300 alto road
23k01351,TRUE,NA,NA
23k01237,TRUE,NA,NA
23j11204,FALSE,147.475359026535,500 wellesley st
23j11289,TRUE,NA,NA
23k00100,FALSE,4.080148567245335,200 laurens st
23k00310,TRUE,NA,NA
23j11144,FALSE,5.292845420494376,10 n eutaw st
23j09847,TRUE,NA,NA
23j09866,TRUE,NA,NA
23j09903,TRUE,NA,NA
23j09907,TRUE,NA,NA
23j09908,TRUE,NA,NA
23j10049,TRUE,NA,NA
23j10041,TRUE,NA,NA
23j10162,TRUE,NA,NA
23j09961,FALSE,9.875124727016658,800 s streeper st
23j10139,TRUE,NA,NA
23j10068,FALSE,0,3100 clarks lane
23j08145,TRUE,NA,NA
23j08022,FALSE,0.7169221100830467,2100 tucker lane
23j08024,TRUE,NA,NA
23j07921,TRUE,NA,NA
23j07922,TRUE,NA,NA
23j08041,TRUE,NA,NA
23j08042,TRUE,NA,NA
23j07687,TRUE,NA,NA
23j07695,FALSE,46.49017378557044,5200 muth ave
23j07386,TRUE,NA,NA
23j08490,TRUE,NA,NA
23k01484,TRUE,NA,NA
23k01315,TRUE,NA,NA
23k01334,TRUE,NA,NA
23k01532,FALSE,0,1100 horners lane
23k01534,TRUE,NA,NA
23k01204,TRUE,NA,NA
23k01205,TRUE,NA,NA
23j11185,TRUE,NA,NA
23j10109,TRUE,NA,NA
23j10480,TRUE,NA,NA
23j10470,TRUE,NA,NA
23j10510,TRUE,NA,NA
23j10202,FALSE,6.157434086937798,4000 10th st
23j10072,FALSE,178.09340312962982,200 n conkling st
23j09965,TRUE,NA,NA
23j09433,TRUE,NA,NA
23j09030,TRUE,NA,NA
23j09074,TRUE,NA,NA
23j09156,TRUE,NA,NA
23j08581,TRUE,NA,NA
23j08957,TRUE,NA,NA
23j08882,TRUE,NA,NA
23j09227,TRUE,NA,NA
23j07148,TRUE,NA,NA
23j07305,TRUE,NA,NA
23j07048,TRUE,NA,NA
23k00479,FALSE,19.04186303279825,1400 whitelock st
23j06933,TRUE,NA,NA
23j06936,TRUE,NA,NA
23k00575,TRUE,NA,NA
23k00580,FALSE,4.7494772311548,200 n chester st
23k00586,TRUE,NA,NA
23k00951,TRUE,NA,NA
23k00787,TRUE,NA,NA
23k00792,TRUE,NA,NA
23k00728,TRUE,NA,NA
23k00733,TRUE,NA,NA
23k00734,TRUE,NA,NA
23k00608,TRUE,NA,NA
23j10753,TRUE,NA,NA
23j10191,FALSE,23.19424533833223,1200 e madison st
23j10042,FALSE,0,4200 6th st
23j10050,TRUE,NA,NA
23j10167,TRUE,NA,NA
23j10263,TRUE,NA,NA
23k00080,FALSE,18.143142808432824,0 n monastery ave
23j09284,TRUE,NA,NA
23j09581,FALSE,7.5732115299839275,500 mcelderry st
23j06939,TRUE,NA,NA
23j06940,TRUE,NA,NA
23j07542,TRUE,NA,NA
23j07552,TRUE,NA,NA
23j10459,TRUE,NA,NA
23j07563,FALSE,28.495535744657197,200 mosher st
23j07593,TRUE,NA,NA
23j07618,TRUE,NA,NA
23j08091,TRUE,NA,NA
23j07739,TRUE,NA,NA
23j07328,TRUE,NA,NA
23j08858,TRUE,NA,NA
23j08947,TRUE,NA,NA
23j08640,TRUE,NA,NA
23j08581,TRUE,NA,NA
23j08760,TRUE,NA,NA
23j08843,TRUE,NA,NA
23j08962,TRUE,NA,NA
23j08596,FALSE,24.517250026650185,0 e fort ave
23j07535,TRUE,NA,NA
23j07696,FALSE,42.92308172641091,1500 friendship st
23j08081,TRUE,NA,NA
23j07324,FALSE,277.48753452654415,4800 olney road
23j07326,FALSE,0,3100 clarks lane
23j07293,TRUE,NA,NA
23j09100,FALSE,7.052665604651305,6800 mcclean blvd
23j08726,FALSE,1.7302523417890836,1400 mchenry st
23j09019,TRUE,NA,NA
23j08898,FALSE,171.5771284070818,100 e lombard st
23j07752,TRUE,NA,NA
23k00984,TRUE,NA,NA
23k01158,TRUE,NA,NA
23k01159,TRUE,NA,NA
23k01197,FALSE,2.4752479440893893,500 mount holly st
23k00961,TRUE,NA,NA
23k00964,TRUE,NA,NA
23j07768,TRUE,NA,NA
23k00972,FALSE,33.944137771486574,0 n culver st
23k00827,TRUE,NA,NA
23k00954,TRUE,NA,NA
23k01288,TRUE,NA,NA
23k01110,TRUE,NA,NA
23k01113,TRUE,NA,NA
23k00771,TRUE,NA,NA
23k01076,TRUE,NA,NA
23k01094,TRUE,NA,NA
23k01102,TRUE,NA,NA
23k00725,TRUE,NA,NA
23j10913,TRUE,NA,NA
23j10523,TRUE,NA,NA
23j07830,TRUE,NA,NA
23j08145,TRUE,NA,NA
23j07972,TRUE,NA,NA
23j07667,FALSE,2.894481826862887,3800 dillon st
23j07853,TRUE,NA,NA
23j10532,TRUE,NA,NA
23j11134,TRUE,NA,NA
23j10679,TRUE,NA,NA
23j10687,TRUE,NA,NA
23k00281,FALSE,15.377444901611659,5700 edgepark road
23j10835,TRUE,NA,NA
23j10777,TRUE,NA,NA
23k01555,TRUE,NA,NA
23k00408,TRUE,NA,NA
23k01517,TRUE,NA,NA
23j10636,FALSE,39.70017642523055,4300 mannasota ave
23j09266,TRUE,NA,NA
23j09484,TRUE,NA,NA
23j09686,TRUE,NA,NA
23j09536,TRUE,NA,NA
23j09743,TRUE,NA,NA
23j10944,TRUE,NA,NA
23j09472,TRUE,NA,NA
23j09511,TRUE,NA,NA
23j10961,FALSE,11.635462591938557,1200 sherwood ave
23j11214,TRUE,NA,NA
23j11163,TRUE,NA,NA
23j07671,TRUE,NA,NA
23j07396,TRUE,NA,NA
23j02293,FALSE,21.78078421392291,1100 bolton st
23j09823,TRUE,NA,NA
23j07443,TRUE,NA,NA
23j07863,TRUE,NA,NA
23j09558,TRUE,NA,NA
23j09563,TRUE,NA,NA
23j11188,TRUE,NA,NA
23j10700,TRUE,NA,NA
23j11286,FALSE,7.0951162430120185,5200 frederick ave
23j10785,TRUE,NA,NA
23j11115,TRUE,NA,NA
23j11117,FALSE,0.21342471457442558,0 w biddle st
23j07611,TRUE,NA,NA
23k01004,TRUE,NA,NA
23k01591,TRUE,NA,NA
23k01117,TRUE,NA,NA
23k01120,TRUE,NA,NA
23j09581,FALSE,7.5732115299839275,500 mcelderry st
23j09656,TRUE,NA,NA
23j09453,FALSE,11.617773330960247,0 s kresson st
23j07949,TRUE,NA,NA
23j08181,TRUE,NA,NA
23j07800,TRUE,NA,NA
23j08039,TRUE,NA,NA
23j07224,TRUE,NA,NA
23k01130,TRUE,NA,NA
23k00912,TRUE,NA,NA
23j07941,FALSE,42.04436383742907,4000 wilsby ave
23j07765,TRUE,NA,NA
23j08016,TRUE,NA,NA
23k01477,TRUE,NA,NA
23j07343,TRUE,NA,NA
23j07307,TRUE,NA,NA
23j01924,FALSE,85.73184845933686,100 w west st
23k00990,TRUE,NA,NA
23k01560,TRUE,NA,NA
23j07908,TRUE,NA,NA
23j08246,TRUE,NA,NA
23j08070,FALSE,0,1000 cherry hill road
23j07953,TRUE,NA,NA
23j08007,TRUE,NA,NA
23k00401,TRUE,NA,NA
23k00428,TRUE,NA,NA
23j07152,FALSE,84.9687341880787,400 w redwood st
23j07210,TRUE,NA,NA
23j07210,TRUE,NA,NA
23j07215,TRUE,NA,NA
23j10622,FALSE,6.0394140958957765,400 george st
23j10636,FALSE,39.70017642523055,4300 mannasota ave
23k00154,TRUE,NA,NA
23j10833,TRUE,NA,NA
23j10842,TRUE,NA,NA
23j06566,TRUE,NA,NA
23j06451,TRUE,NA,NA
23j06426,TRUE,NA,NA
23j06431,TRUE,NA,NA
23j08303,TRUE,NA,NA
23j08834,TRUE,NA,NA
23j09040,TRUE,NA,NA
23j10739,TRUE,NA,NA
23j10380,TRUE,NA,NA
23j10706,TRUE,NA,NA
23j10707,FALSE,106.04459515671482,2700 barclay st
23k01448,TRUE,NA,NA
23k01490,TRUE,NA,NA
23k01472,TRUE,NA,NA
23k01540,TRUE,NA,NA
23k01566,FALSE,0,2200 e northern pkwy
23k01611,TRUE,NA,NA
23k01203,TRUE,NA,NA
23k01141,TRUE,NA,NA
23j06488,TRUE,NA,NA
23j06204,TRUE,NA,NA
23j08299,TRUE,NA,NA
23j09342,TRUE,NA,NA
23j06219,TRUE,NA,NA
23j03785,FALSE,25.513710455717195,0 e wheeling st
23j03549,FALSE,1.7771285914821089,3800 saint victor st
23j04141,TRUE,NA,NA
23j09108,FALSE,26.27184901301302,900 s robinson st
23j08610,FALSE,8.561979184784581,200 e centre st
23j08809,FALSE,2.7013710861571814,0 n fulton ave
23j08610,FALSE,8.561979184784581,200 e centre st
23j10557,FALSE,11.14288751055446,500 s east ave
23k01194,TRUE,NA,NA
23k00750,FALSE,28.69380724692737,300 saint paul pl
23k00760,TRUE,NA,NA
23k00918,TRUE,NA,NA
23j11040,TRUE,NA,NA
23j11178,TRUE,NA,NA
23j11065,TRUE,NA,NA
23j05796,TRUE,NA,NA
23j05843,TRUE,NA,NA
23j03010,TRUE,NA,NA
23j03142,TRUE,NA,NA
23j02405,FALSE,85.20558504282221,30 s paca st
23j07137,TRUE,NA,NA
23j09354,TRUE,NA,NA
23j08800,TRUE,NA,NA
23j08808,TRUE,NA,NA
23k01226,TRUE,NA,NA
23j09276,TRUE,NA,NA
23j11166,TRUE,NA,NA
23j11221,TRUE,NA,NA
23j11036,TRUE,NA,NA
23j11039,TRUE,NA,NA
23j02419,TRUE,NA,NA
23j02196,TRUE,NA,NA
23j02214,TRUE,NA,NA
23j02218,TRUE,NA,NA
23j02771,TRUE,NA,NA
23i02211,TRUE,NA,NA
23j08952,TRUE,NA,NA
23k01250,TRUE,NA,NA
23k01434,FALSE,0,4000 10th st
23k01437,TRUE,NA,NA
23j10524,TRUE,NA,NA
23j10646,TRUE,NA,NA
23j02454,TRUE,NA,NA
23j02496,TRUE,NA,NA
23j03037,TRUE,NA,NA
23j02312,TRUE,NA,NA
23i02218,TRUE,NA,NA
23k01281,TRUE,NA,NA
23k01163,TRUE,NA,NA
23k01375,TRUE,NA,NA
23j09460,FALSE,16.523146729217206,1700 ramblewood road
23j09518,FALSE,9.721016633643714,10 w 20th st
23j10055,FALSE,0,4200 6th st
23j09959,TRUE,NA,NA
23j09804,TRUE,NA,NA
23j10520,FALSE,0,0 calvert st
23k00319,TRUE,NA,NA
23j10949,TRUE,NA,NA
23j06285,FALSE,7.227294182340911,2000 duker ct
23j07867,TRUE,NA,NA
23j06860,TRUE,NA,NA
23j06724,TRUE,NA,NA
23j06735,TRUE,NA,NA
23j07248,TRUE,NA,NA
23j07248,TRUE,NA,NA
23j06738,TRUE,NA,NA
23j07419,TRUE,NA,NA
23i01622,TRUE,NA,NA
23j07275,TRUE,NA,NA
23i04246,TRUE,NA,NA
23j07416,FALSE,1.5878252347137218,4300 patterson ave
23j07377,TRUE,NA,NA
23j08330,FALSE,6.953695255812814,2800 elgin ave
23k01421,TRUE,NA,NA
23i04222,TRUE,NA,NA
23j09296,TRUE,NA,NA
23j10511,TRUE,NA,NA
23j09575,TRUE,NA,NA
23j09383,TRUE,NA,NA
23j06774,TRUE,NA,NA
23j05449,TRUE,NA,NA
23j07584,TRUE,NA,NA
23j07464,TRUE,NA,NA
23j07231,TRUE,NA,NA
23j07242,TRUE,NA,NA
23j05112,TRUE,NA,NA
23j05129,TRUE,NA,NA
23j05130,TRUE,NA,NA
23j05004,TRUE,NA,NA
23j05142,TRUE,NA,NA
23j05143,TRUE,NA,NA
23j05804,TRUE,NA,NA
23j06826,TRUE,NA,NA
23j07073,TRUE,NA,NA
23j07154,TRUE,NA,NA
23j06319,FALSE,7.421193543737208,1200 n dukeland st
23j05654,TRUE,NA,NA
23j05663,TRUE,NA,NA
23j05803,TRUE,NA,NA
23k01056,TRUE,NA,NA
23k01485,FALSE,21.771511935762764,4700 homesdale ave
23j05818,TRUE,NA,NA
23j05162,TRUE,NA,NA
23j07164,TRUE,NA,NA
23j07174,FALSE,15.847549919111081,400 e pratt st
23j06974,TRUE,NA,NA
23j05806,TRUE,NA,NA
23j05812,TRUE,NA,NA
23j05816,TRUE,NA,NA
23j04813,TRUE,NA,NA
23j06312,FALSE,5.912753920601322,700 n streeper st
23j05085,TRUE,NA,NA
23j04663,TRUE,NA,NA
23j04664,FALSE,9.265430450641444,3700 chestnut ave
23k01017,TRUE,NA,NA
23k01573,TRUE,NA,NA
23k00840,TRUE,NA,NA
23k01117,TRUE,NA,NA
23j05290,TRUE,NA,NA
23j05021,TRUE,NA,NA
23j04832,TRUE,NA,NA
23j06356,TRUE,NA,NA
23j05149,TRUE,NA,NA
23j03581,TRUE,NA,NA
23j06898,TRUE,NA,NA
23j07220,TRUE,NA,NA
23j06121,TRUE,NA,NA
23j04875,TRUE,NA,NA
23j04755,TRUE,NA,NA
23j05844,TRUE,NA,NA
23j05859,TRUE,NA,NA
23k01471,TRUE,NA,NA
23j10355,TRUE,NA,NA
23j04016,TRUE,NA,NA
23j03994,TRUE,NA,NA
23j04022,TRUE,NA,NA
23j04022,TRUE,NA,NA
23j03560,TRUE,NA,NA
23j03741,TRUE,NA,NA
23j06207,TRUE,NA,NA
23j06261,FALSE,15.08937405969219,600 w hoffman st
23j05950,TRUE,NA,NA
23j03796,TRUE,NA,NA
23j03800,FALSE,39.15774786309997,2800 liberty heights ave
23j10645,FALSE,96.84999698712144,500 mcelderry st
23j09723,TRUE,NA,NA
23j10603,TRUE,NA,NA
23j04031,TRUE,NA,NA
23j04037,TRUE,NA,NA
23j06083,TRUE,NA,NA
23j06087,TRUE,NA,NA
23j06272,TRUE,NA,NA
23j06202,FALSE,0,5000 w forest park ave
23j03856,TRUE,NA,NA
23j03998,TRUE,NA,NA
23j03874,TRUE,NA,NA
23j03878,TRUE,NA,NA
23j04494,TRUE,NA,NA
23j10421,TRUE,NA,NA
23j10799,TRUE,NA,NA
23j04395,TRUE,NA,NA
23j03259,TRUE,NA,NA
23j03262,TRUE,NA,NA
23j03176,TRUE,NA,NA
23j02970,FALSE,152.89187087702317,3400 auchentoroly terr
23j02981,TRUE,NA,NA
23j02562,FALSE,0,7000 laurelton ave
23j02563,TRUE,NA,NA
23j06439,TRUE,NA,NA
23j04625,TRUE,NA,NA
23j04293,FALSE,35.98899080657099,1300 n calvert st
23j09334,FALSE,24.813884550796846,10 w 20th st
23j02994,TRUE,NA,NA
23j02875,TRUE,NA,NA
23j02931,TRUE,NA,NA
23j02568,TRUE,NA,NA
23j02674,TRUE,NA,NA
23j02583,TRUE,NA,NA
23j02584,TRUE,NA,NA
23j02587,FALSE,68.11797229531763,700 lennox st
23j02715,TRUE,NA,NA
23j02720,TRUE,NA,NA
23j02180,TRUE,NA,NA
23j02421,TRUE,NA,NA
23j03989,TRUE,NA,NA
23i04151,TRUE,NA,NA
23i04273,TRUE,NA,NA
23j09429,FALSE,0,5000 w forest park ave
23j09349,TRUE,NA,NA
23j09231,TRUE,NA,NA
23j09257,TRUE,NA,NA
23j09258,FALSE,34.776591401985556,0 e cross st
23j03324,TRUE,NA,NA
23j02883,TRUE,NA,NA
23j02905,TRUE,NA,NA
23j02985,TRUE,NA,NA
23j03349,TRUE,NA,NA
23j03084,TRUE,NA,NA
23j02437,TRUE,NA,NA
23i04334,TRUE,NA,NA
23i03891,TRUE,NA,NA
23i03332,TRUE,NA,NA
23i02966,TRUE,NA,NA
23j02606,TRUE,NA,NA
23j02615,TRUE,NA,NA
23j02616,TRUE,NA,NA
23j02579,FALSE,11.839884901696012,0 e chase st
23j02681,TRUE,NA,NA
23j02176,TRUE,NA,NA
23j06894,TRUE,NA,NA
23j06904,FALSE,2.261591723286174,0 n wheeler ave
23j06753,FALSE,39.15774786309997,2800 liberty heights ave
23j06633,FALSE,0,4300 patterson ave
23j06648,TRUE,NA,NA
23j09089,TRUE,NA,NA
23j10228,TRUE,NA,NA
23j09012,TRUE,NA,NA
23j07870,TRUE,NA,NA
23j07989,TRUE,NA,NA
23j07889,TRUE,NA,NA
23i03149,TRUE,NA,NA
23i03158,TRUE,NA,NA
23i03226,TRUE,NA,NA
23i03229,TRUE,NA,NA
23i03232,TRUE,NA,NA
23j02325,TRUE,NA,NA
23j02628,TRUE,NA,NA
23j02143,TRUE,NA,NA
23j02472,TRUE,NA,NA
23j06743,FALSE,4.204419724273743,2500 maryland ave
23j06979,TRUE,NA,NA
23j06563,TRUE,NA,NA
23j06635,TRUE,NA,NA
23j07096,TRUE,NA,NA
23j07905,TRUE,NA,NA
23j08051,TRUE,NA,NA
23j08055,TRUE,NA,NA
23j08056,TRUE,NA,NA
23j08354,TRUE,NA,NA
23j07931,TRUE,NA,NA
23j06001,TRUE,NA,NA
23j06022,TRUE,NA,NA
23j05675,TRUE,NA,NA
23j05827,FALSE,0,1500 e monument st
23j05828,TRUE,NA,NA
23j05695,TRUE,NA,NA
23j07576,FALSE,0,3100 clarks lane
23j08047,TRUE,NA,NA
23j08050,TRUE,NA,NA
23j05788,TRUE,NA,NA
23j07993,TRUE,NA,NA
23j05026,TRUE,NA,NA
23j05148,TRUE,NA,NA
23j05156,TRUE,NA,NA
23j05893,TRUE,NA,NA
23j05834,TRUE,NA,NA
23j07671,TRUE,NA,NA
23j07674,TRUE,NA,NA
23j07599,TRUE,NA,NA
23j07701,TRUE,NA,NA
23j07718,FALSE,0,3000 fallstaff road
23j07681,TRUE,NA,NA
23j07683,FALSE,0,3900 10th st
23j07686,TRUE,NA,NA
23j07773,TRUE,NA,NA
23k00790,TRUE,NA,NA
23k00986,TRUE,NA,NA
23k00412,TRUE,NA,NA
23k00656,TRUE,NA,NA
23j05853,TRUE,NA,NA
23j05697,TRUE,NA,NA
23j05698,TRUE,NA,NA
23j05699,TRUE,NA,NA
23j04939,TRUE,NA,NA
23j07279,TRUE,NA,NA
23k00657,TRUE,NA,NA
23j04172,TRUE,NA,NA
23j04183,TRUE,NA,NA
23j05192,FALSE,37.1797833302623,1400 stevenson st
23j04399,TRUE,NA,NA
23j04406,FALSE,14.25486352245445,1100 leadenhall st
23j04408,FALSE,0,4000 10th st
23j04476,TRUE,NA,NA
23j04027,TRUE,NA,NA
23k00671,TRUE,NA,NA
23k00684,TRUE,NA,NA
23k00450,TRUE,NA,NA
23j10446,TRUE,NA,NA
23j03585,TRUE,NA,NA
23j03565,FALSE,16.527640219202464,500 s pulaski st
23j04058,FALSE,13.457740952828273,300 dolphin st
23j03353,TRUE,NA,NA
23j04098,TRUE,NA,NA
23j04194,TRUE,NA,NA
23j04200,TRUE,NA,NA
23j03056,TRUE,NA,NA
23j03701,FALSE,2.351316431205655,5700 saint albans way
23j03742,TRUE,NA,NA
23j10491,TRUE,NA,NA
23j10767,TRUE,NA,NA
23j02959,TRUE,NA,NA
23j03410,TRUE,NA,NA
23j03425,TRUE,NA,NA
23j03186,TRUE,NA,NA
23j03195,TRUE,NA,NA
23j11176,TRUE,NA,NA
23j02063,TRUE,NA,NA
23j08122,TRUE,NA,NA
23j01868,TRUE,NA,NA
23j10846,TRUE,NA,NA
23j03127,TRUE,NA,NA
23j03021,TRUE,NA,NA
